Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
Toma de Decisiones Financieras,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,12,4.646341463414634,2233,82,Intermediate,https://www.coursera.org/learn/proyectofinanzascorporativas,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=yB5SiQ5YEeaX4g6xdats6w&productType=course&showMiniModal=true
"Trabaja inteligentemente, no más duro: Gestión del tiempo para la productividad personal y profesional","New Courses, Spanish Selection","University of California, Irvine",4,4.502824858757062,16698,531,Mixed,https://www.coursera.org/learn/trabaja-inteligentemente,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=kKyRFEEiEeWB_AoW1KYI4Q&productType=course&showMiniModal=true
Trabajar para ser feliz,"New Courses, Spanish Selection",Universidad Austral,18,4.691358024691358,5958,81,Beginner,https://www.coursera.org/learn/familia-trabajo-sociedad,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=e9sNO-GnEeaKEg7zbPMg-A&productType=course&showMiniModal=true
Uso de técnicas estadísticas para el análisis de datos,"New Courses, Spanish Selection",Tecnológico de Monterrey,13,4.246575342465754,20261,219,Mixed,https://www.coursera.org/learn/datos-tecnicas,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=rG2_rScYEeWP8AqYi9cmiw&productType=course&showMiniModal=true
Valuación de empresas,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,8,4.655172413793103,3273,145,Intermediate,https://www.coursera.org/learn/valuacionempresas,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=t5FppQ5YEeajjw48wp655Q&productType=course&showMiniModal=true
Devenir entrepreneur du changement,"Innovation and New Trends, French Selection","Ticket for Change, HEC Paris",35,4.74320987654321,47381,405,Mixed,https://www.coursera.org/learn/entrepreneur-changement,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=xid7p&currentTab=CATALOG&productId=1oJb3Q_bEeWMFBICvJtBuQ&productType=course&showMiniModal=true
Strategic Innovation: Building and Sustaining Innovative Organizations,Innovation and New Trends,University of Illinois at Urbana-Champaign,15,4.814569536423841,7625,302,Mixed,https://www.coursera.org/learn/strategic-innovation-building-and-sustaining-innovative-organizations,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=xid7p&currentTab=CATALOG&productId=SIs7J6BUEea2shJAHKQhjA&productType=course&showMiniModal=true
How to Change the World,Innovation and New Trends,Wesleyan University,24,4.7,23152,120,Beginner,https://www.coursera.org/learn/world-change,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=xid7p&currentTab=CATALOG&productId=ow4CDdJIEeS9RyIACzUXlQ&productType=course&showMiniModal=true
Entrepreneurship II: Preparing for Launch,Innovation and New Trends,University of Illinois at Urbana-Champaign,11,4.840425531914893,3507,188,Mixed,https://www.coursera.org/learn/entrepreneurship-2,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=xid7p&currentTab=CATALOG&productId=8Gobhe15EeawGRKJZZGEig&productType=course&showMiniModal=true
"Social Norms, Social Change I","Innovation and New Trends, Turkish Selection","University of Pennsylvania, Unicef",14,4.646536412078153,62708,1126,Beginner,https://www.coursera.org/learn/norms,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=xid7p&currentTab=CATALOG&productId=0jwqe3EyEeWxvQr3acyajw&productType=course&showMiniModal=true
